Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes,Dates
01/03/2023,"PRE-AUTHORIZATION DEBIT AT DUNKIN 348029, SARASOTA, FL ON 010323 FROM CARD#: XXXXXXXXXXXX0123","PRE-AUTHORIZATION DEBIT AT DUNKIN 348029, SARASOTA, FL ON 010323 FROM CARD#: XXXXXXXXXXXX0123",12.68,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-03T00:00:00
01/03/2023,"PRE-AUTHORIZATION DEBIT AT STARBUCKS STORE 5286, SARASOTA, FL ON 010323 FROM CARD#: XXXXXXXXXXXX0123","PRE-AUTHORIZATION DEBIT AT STARBUCKS STORE 5286, SARASOTA, FL ON 010323 FROM CARD#: XXXXXXXXXXXX0123",6.05,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-03T00:00:00
01/03/2023,"PRE-AUTHORIZATION DEBIT AT SHELL, SARASOTA, FL ON 010323 FROM CARD#: XXXXXXXXXXXX0123","PRE-AUTHORIZATION DEBIT AT SHELL, SARASOTA, FL ON 010323 FROM CARD#: XXXXXXXXXXXX0123",5.66,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-03T00:00:00
01/02/2023,"PRE-AUTHORIZATION DEBIT AT DD *DOORDASH KASASUSHI, SAN FRANCISCO, CA ON 010223 FROM CARD#: XXXXXXXXXXXX0123","PRE-AUTHORIZATION DEBIT AT DD *DOORDASH KASASUSHI, SAN FRANCISCO, CA ON 010223 FROM CARD#: XXXXXXXXXXXX0123",46.9,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-02T00:00:00
01/01/2023,"PRE-AUTHORIZATION DEBIT AT BVD*BEENVERIFIED.COM, 855-9046471, NY ON 010123 FROM CARD#: XXXXXXXXXXXX0123","PRE-AUTHORIZATION DEBIT AT BVD*BEENVERIFIED.COM, 855-9046471, NY ON 010123 FROM CARD#: XXXXXXXXXXXX0123",26.89,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-01T00:00:00
01/01/2023,"PRE-AUTHORIZATION DEBIT AT WAWA 5217, SARASOTA, FL ON 010123 FROM CARD#: XXXXXXXXXXXX0123","PRE-AUTHORIZATION DEBIT AT WAWA 5217, SARASOTA, FL ON 010123 FROM CARD#: XXXXXXXXXXXX0123",35.4,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-01T00:00:00
01/01/2023,"PRE-AUTHORIZATION DEBIT AT WAWA 5217, SARASOTA, FL ON 010123 FROM CARD#: XXXXXXXXXXXX0123","PRE-AUTHORIZATION DEBIT AT WAWA 5217, SARASOTA, FL ON 010123 FROM CARD#: XXXXXXXXXXXX0123",7.69,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-01T00:00:00
01/01/2023,RECEIVED RTP ID 20230101021000021P1BRJPM00100010122 FROM VENMO                                                                         ,RECEIVED RTP ID 20230101021000021P1BRJPM00100010122 FROM VENMO,196.5,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-01T00:00:00
01/01/2023,"PRE-AUTHORIZATION DEBIT AT WAWA 5217, SARASOTA, FL ON 010123 FROM CARD#: XXXXXXXXXXXX0123","PRE-AUTHORIZATION DEBIT AT WAWA 5217, SARASOTA, FL ON 010123 FROM CARD#: XXXXXXXXXXXX0123",25.53,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2023-01-01T00:00:00
12/30/2022,FRUITVILLE & WAS - 105601 300 N,FRUITVILLE & WAS - 105601 300 N,0.49,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-30T00:00:00
12/27/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,0.99,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-27T00:00:00
12/13/2022,TWITCH TV - 001000 JTI*TWITCHTV,TWITCH TV - 001000 JTI*TWITCHTV,4.99,debit,Entertainment,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-13T00:00:00
12/12/2022,ATM Fee,ATM WITHDRAWAL POSTED,3,debit,ATM Fee,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-12T00:00:00
12/12/2022,ATM WITHDRAWAL POSTED,ATM WITHDRAWAL POSTED,20,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-12T00:00:00
12/12/2022,NON-5/3 CASH WITHDRAWAL FEE,NON-5/3 CASH WITHDRAWAL FEE,3,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-12T00:00:00
12/12/2022,Received RTP ID 2022120902100002,Received RTP ID 2022120902100002,49.13,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-12T00:00:00
12/12/2022,"RECURRING PURCHASE AT SPOTIFY, 8","RECURRING PURCHASE AT SPOTIFY, 8",10.77,debit,Music,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-12T00:00:00
12/08/2022,"TACO BELL #24560, SARASOTA, FL","TACO BELL #24560, SARASOTA, FL",33.98,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-08T00:00:00
12/08/2022,"BP#6195002CATTLERI, SARASOTA, FL","BP#6195002CATTLERI, SARASOTA, FL",12.97,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-08T00:00:00
12/06/2022,Received RTP ID 2022120602100002,Received RTP ID 2022120602100002,39.3,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-06T00:00:00
12/05/2022,"XTC ADULT SUPERCEN, SARASOTA, FL","XTC ADULT SUPERCEN, SARASOTA, FL",19.25,debit,Movies & DVDs,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-05T00:00:00
12/05/2022,CRUNCH CLUB FEES 2233600363772,CRUNCH CLUB FEES 2233600363772,26.74,debit,Gym,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-05T00:00:00
12/02/2022,"CHICK-FIL-A #00632, SARASOTA, FL","CHICK-FIL-A #00632, SARASOTA, FL",9.47,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-02T00:00:00
12/01/2022,ATM Fee,ATM WITHDRAWAL POSTED,3,debit,ATM Fee,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-01T00:00:00
12/01/2022,ATM WITHDRAWAL POSTED,ATM WITHDRAWAL POSTED,20,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-01T00:00:00
12/01/2022,- N4AR01 7-ELEVEN SARASOTA FL ON,- N4AR01 7-ELEVEN SARASOTA FL ON,9.18,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-01T00:00:00
